                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.2858,                0.77696,                 1.0857,                0.75384,                0.53116,                0.59336,                0.35097,                 1.2858,                0.72625,                 1.0877,               0.008449,               0.008449,               0.008449
                     49,                 1.2856,                  0.775,                 1.0828,                0.75711,                0.53082,                0.59407,                0.35104,                 1.2857,                0.72563,                  1.087,               0.008416,               0.008416,               0.008416
                     50,                 1.2841,                0.77486,                 1.0824,                 0.7531,                0.53502,                0.59493,                0.35183,                 1.2856,                0.72486,                 1.0863,               0.008383,               0.008383,               0.008383
                     51,                 1.2853,                0.77578,                 1.0844,                0.75131,                0.53587,                 0.5956,                0.35189,                 1.2858,                0.72421,                 1.0859,                0.00835,                0.00835,                0.00835
                     52,                 1.2836,                0.77463,                 1.0819,                0.75323,                0.53569,                0.59612,                0.35199,                 1.2857,                0.72344,                 1.0853,               0.008317,               0.008317,               0.008317
                     53,                 1.2845,                0.77417,                 1.0831,                0.75456,                0.53486,                0.59561,                0.35249,                 1.2857,                0.72291,                 1.0849,               0.008284,               0.008284,               0.008284
                     54,                 1.2828,                0.77193,                 1.0833,                0.75652,                0.53386,                0.59635,                0.35291,                 1.2856,                0.72222,                 1.0846,               0.008251,               0.008251,               0.008251
                     55,                 1.2827,                0.77243,                 1.0837,                0.75473,                0.53286,                0.59708,                0.35338,                 1.2858,                0.72148,                 1.0844,               0.008218,               0.008218,               0.008218
                     56,                  1.283,                0.77066,                 1.0817,                0.75597,                0.53301,                0.59723,                0.35378,                 1.2859,                 0.7209,                  1.084,               0.008185,               0.008185,               0.008185
                     57,                 1.2817,                0.77089,                 1.0824,                0.75667,                0.53406,                0.59775,                0.35399,                 1.2859,                0.72029,                 1.0837,               0.008152,               0.008152,               0.008152
                     58,                 1.2817,                0.77015,                 1.0818,                 0.7561,                0.53488,                0.59809,                0.35398,                 1.2856,                0.71972,                 1.0835,               0.008119,               0.008119,               0.008119
                     59,                 1.2804,                0.76895,                 1.0808,                0.75444,                0.53639,                0.59844,                 0.3542,                 1.2857,                0.71911,                 1.0833,               0.008086,               0.008086,               0.008086
                     60,                 1.2811,                0.76972,                 1.0801,                0.75631,                0.53543,                0.59909,                0.35473,                 1.2858,                0.71847,                  1.083,               0.008053,               0.008053,               0.008053
                     61,                 1.2818,                0.76932,                 1.0815,                0.75491,                 0.5355,                0.59975,                0.35532,                 1.2858,                0.71784,                 1.0828,                0.00802,                0.00802,                0.00802
                     62,                 1.2801,                0.76879,                 1.0806,                0.75217,                0.53711,                0.59975,                0.35523,                 1.2858,                 0.7175,                 1.0825,               0.007987,               0.007987,               0.007987
                     63,                 1.2798,                0.76658,                 1.0798,                0.75033,                 0.5389,                0.59936,                0.35538,                 1.2857,                0.71689,                 1.0822,               0.007954,               0.007954,               0.007954
                     64,                 1.2784,                0.76594,                 1.0773,                0.75149,                0.53916,                0.59934,                 0.3557,                 1.2856,                0.71628,                 1.0817,               0.007921,               0.007921,               0.007921
                     65,                 1.2776,                0.76519,                 1.0777,                0.75025,                0.53986,                0.60003,                 0.3559,                 1.2855,                0.71571,                 1.0814,               0.007888,               0.007888,               0.007888
                     66,                 1.2775,                0.76488,                 1.0769,                0.74875,                0.54039,                0.60055,                0.35622,                 1.2854,                0.71508,                  1.081,               0.007855,               0.007855,               0.007855
                     67,                 1.2794,                0.76478,                 1.0775,                0.75109,                0.54003,                0.60143,                0.35682,                 1.2853,                 0.7146,                 1.0807,               0.007822,               0.007822,               0.007822
                     68,                 1.2787,                0.76496,                 1.0757,                0.75039,                0.54038,                0.60285,                0.35756,                 1.2853,                0.71432,                 1.0801,               0.007789,               0.007789,               0.007789
                     69,                  1.277,                0.76353,                 1.0765,                0.74799,                0.54078,                0.60359,                0.35754,                 1.2852,                0.71392,                 1.0798,               0.007756,               0.007756,               0.007756
                     70,                 1.2761,                0.76346,                  1.077,                0.74816,                0.54149,                 0.6072,                 0.3597,                 1.2851,                0.71336,                 1.0795,               0.007723,               0.007723,               0.007723
                     71,                 1.2779,                0.76336,                 1.0762,                0.74695,                0.54244,                0.60679,                0.35966,                 1.2852,                0.71304,                 1.0792,                0.00769,                0.00769,                0.00769
                     72,                  1.276,                0.76214,                 1.0748,                0.74657,                 0.5431,                0.60371,                0.35826,                 1.2851,                0.71266,                 1.0788,               0.007657,               0.007657,               0.007657
                     73,                 1.2741,                0.76083,                 1.0771,                 0.7483,                0.54415,                0.60339,                0.35767,                 1.2851,                0.71258,                 1.0788,               0.007624,               0.007624,               0.007624
                     74,                 1.2757,                0.76159,                  1.076,                0.74916,                0.54271,                0.60425,                0.35802,                 1.2851,                0.71229,                 1.0786,               0.007591,               0.007591,               0.007591
                     75,                 1.2752,                0.76073,                 1.0738,                0.74647,                0.54454,                0.60816,                0.35959,                 1.2852,                0.71201,                 1.0783,               0.007558,               0.007558,               0.007558
                     76,                 1.2746,                0.76109,                 1.0738,                0.75002,                0.54285,                 0.6084,                 0.3593,                  1.285,                0.71185,                 1.0778,               0.007525,               0.007525,               0.007525
