                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.87631,                 0.6501,                0.87493,                0.86699,                 0.8129,                0.89716,                0.67716,                0.82034,                0.56263,                0.86526,               0.008218,               0.008218,               0.008218
                     56,                0.88633,                0.64519,                0.87976,                0.86708,                0.82137,                0.90661,                0.68668,                0.81399,                 0.5414,                0.86457,               0.008185,               0.008185,               0.008185
                     57,                 0.8776,                0.63885,                0.88132,                0.85654,                0.81472,                0.90192,                0.68531,                0.81726,                0.54562,                0.86508,               0.008152,               0.008152,               0.008152
                     58,                0.86625,                0.62601,                0.87403,                0.85395,                0.82327,                 0.9025,                0.68291,                0.81376,                0.54479,                0.86381,               0.008119,               0.008119,               0.008119
                     59,                0.87199,                0.63236,                0.87716,                0.87254,                0.82007,                0.90865,                  0.686,                 0.8184,                0.53933,                0.86487,               0.008086,               0.008086,               0.008086
                     60,                0.86775,                0.62812,                0.87455,                0.86959,                 0.8249,                0.90936,                0.69089,                0.81521,                0.53351,                0.86363,               0.008053,               0.008053,               0.008053
                     61,                0.86799,                0.62602,                0.87858,                0.87416,                 0.8184,                0.91161,                0.68889,                0.81516,                0.52846,                0.86488,                0.00802,                0.00802,                0.00802
                     62,                0.86524,                0.61611,                0.87287,                0.86932,                0.83238,                0.91147,                0.69251,                0.81373,                0.52357,                 0.8637,               0.007987,               0.007987,               0.007987
                     63,                0.85761,                 0.6085,                 0.8725,                 0.8669,                0.82835,                0.90805,                0.68973,                0.81031,                0.53112,                0.86202,               0.007954,               0.007954,               0.007954
                     64,                 0.8781,                0.61501,                 0.8772,                0.88022,                0.81664,                 0.9121,                0.69259,                0.81435,                0.52796,                0.86387,               0.007921,               0.007921,               0.007921
                     65,                0.86282,                0.60428,                0.87758,                0.88025,                0.82739,                0.91382,                0.69393,                0.81048,                0.52179,                0.86318,               0.007888,               0.007888,               0.007888
                     66,                0.87075,                0.60947,                0.87517,                0.85705,                0.85148,                0.91486,                0.69403,                0.81179,                0.52199,                0.86247,               0.007855,               0.007855,               0.007855
                     67,                0.86696,                0.61121,                0.87916,                0.87475,                0.83538,                0.91562,                0.69626,                0.80885,                 0.5196,                0.86304,               0.007822,               0.007822,               0.007822
                     68,                0.86032,                0.59211,                0.87425,                0.87012,                0.84016,                 0.9172,                0.69583,                0.81316,                0.52273,                0.86291,               0.007789,               0.007789,               0.007789
                     69,                0.85471,                0.59923,                0.87053,                0.86665,                 0.8458,                0.91708,                0.69675,                0.81109,                0.51683,                0.86213,               0.007756,               0.007756,               0.007756
                     70,                0.85399,                0.58804,                0.86975,                0.86885,                0.84585,                0.91786,                0.69457,                0.80966,                0.51387,                0.86196,               0.007723,               0.007723,               0.007723
                     71,                0.85546,                0.58823,                0.86966,                0.86539,                0.84534,                 0.9175,                0.69638,                0.80944,                0.52027,                0.86236,                0.00769,                0.00769,                0.00769
                     72,                0.86377,                0.58396,                0.87381,                0.88147,                0.84354,                0.92055,                0.69857,                 0.8095,                0.51197,                0.86239,               0.007657,               0.007657,               0.007657
                     73,                0.85815,                0.58424,                0.87366,                0.86358,                0.85224,                0.91944,                0.70005,                0.80668,                 0.5083,                0.86139,               0.007624,               0.007624,               0.007624
                     74,                0.85321,                0.58071,                0.87202,                0.87557,                0.83818,                0.91971,                0.69951,                0.80735,                0.51108,                0.86019,               0.007591,               0.007591,               0.007591
                     75,                0.84597,                 0.5656,                0.86774,                0.87373,                0.84735,                0.92141,                0.70091,                  0.809,                0.50376,                0.86135,               0.007558,               0.007558,               0.007558
