                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.2955,                0.90853,                 1.0394,                0.50758,                0.40297,                0.39881,                0.23261,                 1.4462,                 1.0563,                 1.0741,               0.008218,               0.008218,               0.008218
                     56,                 1.2991,                0.90822,                 1.0363,                0.52146,                0.40299,                0.40293,                0.23639,                 1.4444,                 1.0482,                 1.0729,               0.008185,               0.008185,               0.008185
                     57,                  1.287,                0.90056,                 1.0341,                0.51571,                0.40097,                0.40054,                0.23413,                  1.445,                 1.0521,                 1.0735,               0.008152,               0.008152,               0.008152
                     58,                 1.2895,                0.90215,                 1.0338,                0.53431,                0.40047,                0.40301,                0.23504,                  1.449,                  1.053,                 1.0729,               0.008119,               0.008119,               0.008119
                     59,                 1.2873,                0.89566,                 1.0324,                0.51329,                0.40857,                0.40204,                0.23479,                 1.4488,                 1.0476,                 1.0735,               0.008086,               0.008086,               0.008086
                     60,                 1.2834,                0.88824,                  1.031,                0.51719,                0.40711,                0.40359,                0.23609,                 1.4406,                 1.0463,                 1.0709,               0.008053,               0.008053,               0.008053
                     61,                 1.2807,                 0.8876,                  1.031,                0.52364,                0.40911,                0.40422,                0.23663,                 1.4381,                 1.0421,                 1.0694,                0.00802,                0.00802,                0.00802
                     62,                 1.2809,                0.88318,                 1.0287,                0.51219,                0.40921,                0.40377,                0.23663,                 1.4479,                 1.0473,                 1.0734,               0.007987,               0.007987,               0.007987
                     63,                 1.2799,                 0.8845,                 1.0295,                0.51584,                0.40723,                0.40419,                0.23667,                 1.4432,                  1.044,                 1.0706,               0.007954,               0.007954,               0.007954
                     64,                 1.2741,                0.87841,                 1.0277,                0.52117,                0.40827,                0.40636,                 0.2381,                 1.4363,                 1.0381,                 1.0686,               0.007921,               0.007921,               0.007921
                     65,                 1.2688,                0.87369,                 1.0254,                0.51777,                 0.4089,                0.40372,                0.23654,                 1.4373,                 1.0419,                 1.0683,               0.007888,               0.007888,               0.007888
                     66,                  1.267,                0.87142,                 1.0248,                0.52387,                 0.4088,                 0.4076,                0.23857,                 1.4381,                 1.0367,                 1.0695,               0.007855,               0.007855,               0.007855
                     67,                 1.2646,                 0.8683,                 1.0243,                0.52515,                0.40793,                0.40765,                0.23848,                  1.443,                  1.038,                 1.0704,               0.007822,               0.007822,               0.007822
                     68,                 1.2652,                0.86591,                 1.0248,                0.51873,                0.41151,                0.40506,                0.23724,                 1.4391,                 1.0433,                 1.0694,               0.007789,               0.007789,               0.007789
                     69,                 1.2693,                 0.8664,                 1.0256,                0.53092,                0.40713,                0.40784,                 0.2391,                 1.4399,                 1.0394,                 1.0699,               0.007756,               0.007756,               0.007756
                     70,                 1.2686,                0.86556,                 1.0242,                0.52489,                0.41169,                0.40887,                0.23943,                  1.442,                 1.0396,                 1.0708,               0.007723,               0.007723,               0.007723
                     71,                 1.2632,                0.86357,                 1.0243,                0.52874,                0.41026,                0.40908,                0.23973,                 1.4398,                  1.036,                 1.0689,                0.00769,                0.00769,                0.00769
                     72,                 1.2665,                0.86072,                 1.0237,                0.52835,                0.41069,                0.40951,                0.24018,                 1.4336,                 1.0348,                  1.067,               0.007657,               0.007657,               0.007657
                     73,                 1.2613,                0.85812,                 1.0229,                0.53166,                0.41072,                0.40857,                0.23909,                 1.4365,                 1.0371,                 1.0676,               0.007624,               0.007624,               0.007624
                     74,                 1.2587,                0.85505,                 1.0194,                0.52736,                 0.4131,                0.40905,                0.23956,                 1.4382,                 1.0369,                 1.0685,               0.007591,               0.007591,               0.007591
                     75,                  1.259,                 0.8545,                 1.0213,                0.52752,                0.41346,                0.40929,                0.24015,                 1.4351,                 1.0352,                 1.0681,               0.007558,               0.007558,               0.007558
                     76,                 1.2585,                0.84918,                 1.0204,                0.52542,                 0.4149,                0.40807,                0.23843,                 1.4376,                 1.0347,                 1.0689,               0.007525,               0.007525,               0.007525
                     77,                 1.2528,                0.84508,                 1.0169,                0.53097,                0.40759,                0.40716,                 0.2387,                 1.4389,                 1.0363,                 1.0693,               0.007492,               0.007492,               0.007492
                     78,                 1.2521,                0.84504,                 1.0173,                0.52751,                0.41452,                0.40944,                0.23923,                 1.4422,                 1.0368,                   1.07,               0.007459,               0.007459,               0.007459
                     79,                 1.2477,                0.84169,                 1.0176,                0.51968,                 0.4149,                0.41094,                0.24011,                 1.4395,                 1.0351,                 1.0692,               0.007426,               0.007426,               0.007426
                     80,                 1.2451,                0.83699,                 1.0145,                 0.5304,                0.41104,                0.41205,                0.24064,                 1.4394,                 1.0343,                 1.0691,               0.007393,               0.007393,               0.007393
                     81,                 1.2494,                0.83688,                 1.0151,                0.52628,                0.41623,                 0.4114,                0.24016,                  1.437,                 1.0352,                 1.0684,                0.00736,                0.00736,                0.00736
                     82,                 1.2493,                0.83524,                 1.0155,                0.53305,                0.41082,                 0.4123,                0.24105,                 1.4345,                 1.0345,                 1.0679,               0.007327,               0.007327,               0.007327
                     83,                 1.2473,                0.83393,                 1.0132,                0.53145,                0.41405,                0.41128,                0.24029,                 1.4362,                 1.0359,                 1.0679,               0.007294,               0.007294,               0.007294
